<<<<<<< Updated upstream
"dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_fall_les","edad_fall_les","g_edad","lesio_fall","tipo_vehi","Causa_acc"
23,"Septiembre","Jueves",7,"Guatemala","Urbano",5,"Mujer",999,"Ignorado","Lesionados","Automovil","Colision"
23,"Septiembre","Jueves",7,"Guatemala","Urbano",5,"Mujer",999,"Ignorado","Lesionados","Automovil","Colision"
28,"Marzo","Domingo",4,"Guatemala","Urbano",7,"Mujer",999,"Ignorado","Fallecidos","Automovil","Colision"
7,"Agosto","Sabado",8,"Guatemala","Urbano",7,"Hombre",999,"Ignorado","Lesionados","Automovil","Colision"
5,"Julio","Lunes",20,"Guatemala","Urbano",7,"Hombre",999,"Ignorado","Lesionados","Automovil","Colision"
11,"Julio","Domingo",23,"Guatemala","Urbano",11,"Hombre",999,"Ignorado","Lesionados","Automovil","Colision"
29,"Diciembre","Miercoles",23,"Guatemala","Urbano",12,"Hombre",999,"Ignorado","Lesionados","Automovil","Colision"
10,"Julio","Viernes",10,"Guatemala","Urbano",13,"Mujer",999,"Ignorado","Lesionados","Automovil","Colision"
28,"Julio","Miercoles",9,"Guatemala","Urbano",1,"Hombre",999,"Ignorado","Lesionados","Pick up","Colision"
28,"Julio","Miercoles",9,"Guatemala","Urbano",1,"Mujer",999,"Ignorado","Lesionados","Pick up","Colision"
28,"Julio","Miercoles",9,"Guatemala","Urbano",1,"Hombre",999,"Ignorado","Lesionados","Pick up","Colision"
31,"Marzo","Miercoles",15,"Guatemala","Urbano",1,"Hombre",999,"Ignorado","Lesionados","Pick up","Colision"
19,"Julio","Lunes",13,"Guatemala","Urbano",2,"Mujer",999,"Ignorado","Lesionados","Pick up","Colision"
11,"Mayo","Martes",10,"Guatemala","Urbano",12,"Hombre",999,"Ignorado","Lesionados","Pick up","Colision"
11,"Mayo","Martes",10,"Guatemala","Urbano",12,"Hombre",999,"Ignorado","Lesionados","Pick up","Colision"
5,"Marzo","Viernes",21,"Guatemala","Urbano",3,"Hombre",999,"Ignorado","Lesionados","Motocicleta","Colision"
18,"Diciembre","Sabado",12,"Guatemala","Urbano",7,"Hombre",999,"Ignorado","Lesionados","Motocicleta","Colision"
16,"Junio","Miercoles",19,"Guatemala","Urbano",9,"Hombre",999,"Ignorado","Lesionados","Motocicleta","Colision"
19,"Noviembre","Viernes",12,"Guatemala","Urbano",12,"Hombre",999,"Ignorado","Lesionados","Motocicleta","Colision"
23,"Julio","Viernes",18,"Guatemala","Urbano",13,"Hombre",999,"Ignorado","Lesionados","Motocicleta","Colision"
1,"Abril","Jueves",17,"Guatemala","Urbano",17,"Hombre",999,"Ignorado","Lesionados","Motocicleta","Colision"
25,"Marzo","Jueves",13,"Guatemala","Urbano",1,"Mujer",999,"Ignorado","Lesionados","Camion","Colision"
13,"Septiembre","Lunes",20,"Guatemala","Urbano",9,"Hombre",999,"Ignorado","Lesionados","Bus extraurbano","Colision"
1,"Julio","Jueves",1,"Guatemala","Urbano",13,"Hombre",999,"Ignorado","Lesionados","Microbus","Colision"
30,"Diciembre","Jueves",17,"Guatemala","Urbano",1,"Hombre",999,"Ignorado","Lesionados","Ignorado","Colision"
8,"Agosto","Domingo",3,"Guatemala","Urbano",18,"Hombre",999,"Ignorado","Fallecidos","Automovil","Choque, empotro"
8,"Agosto","Domingo",3,"Guatemala","Urbano",18,"Hombre",999,"Ignorado","Lesionados","Automovil","Choque, empotro"
4,"Agosto","Miercoles",14,"Guatemala","Urbano",16,"Hombre",999,"Ignorado","Lesionados","Pick up","Choque, empotro"
11,"Septiembre","Sabado",23,"Guatemala","Urbano",11,"Hombre",999,"Ignorado","Lesionados","Motocicleta","Choque, empotro"
11,"Septiembre","Sabado",23,"Guatemala","Urbano",11,"Mujer",999,"Ignorado","Lesionados","Motocicleta","Choque, empotro"
14,"Marzo","Domingo",7,"Guatemala","Urbano",9,"Hombre",999,"Ignorado","Lesionados","Bus urbano","vuelco, volco"
14,"Marzo","Domingo",7,"Guatemala","Urbano",9,"Hombre",999,"Ignorado","Lesionados","Bus urbano","vuelco, volco"
14,"Marzo","Domingo",7,"Guatemala","Urbano",9,"Hombre",999,"Ignorado","Lesionados","Bus urbano","vuelco, volco"
14,"Marzo","Domingo",7,"Guatemala","Urbano",9,"Hombre",999,"Ignorado","Lesionados","Bus urbano","vuelco, volco"
14,"Marzo","Domingo",7,"Guatemala","Urbano",9,"Hombre",999,"Ignorado","Lesionados","Bus urbano","vuelco, volco"
13,"Noviembre","Sabado",1,"Guatemala","Urbano",5,"Hombre",999,"Ignorado","Fallecidos","Automovil","Caida, encuneto, encunetado, embarrancado"
20,"Diciembre","Lunes",0,"Guatemala","Urbano",1,"Hombre",4,"Menos 15","Lesionados","Automovil","Colision"
26,"Febrero","Viernes",16,"Guatemala","Urbano",6,"Mujer",2,"Menos 15","Lesionados","Automovil","Colision"
16,"Mayo","Domingo",16,"Guatemala","Urbano",7,"Mujer",1,"Menos 15","Lesionados","Automovil","Colision"
13,"Septiembre","Lunes",20,"Guatemala","Urbano",10,"Hombre",1,"Menos 15","Lesionados","Automovil","Colision"
22,"Noviembre","Lunes",14,"Guatemala","Urbano",18,"Mujer",2,"Menos 15","Lesionados","Automovil","Colision"
7,"Enero","Jueves",13,"Guatemala","Urbano",8,"Hombre",1,"Menos 15","Lesionados","Pick up","Colision"
7,"Enero","Jueves",13,"Guatemala","Urbano",8,"Mujer",3,"Menos 15","Lesionados","Pick up","Colision"
29,"Diciembre","Miercoles",23,"Guatemala","Urbano",12,"Hombre",1,"Menos 15","Lesionados","Pick up","Colision"
15,"Septiembre","Miercoles",13,"Guatemala","Urbano",1,"Hombre",0,"Menos 15","Lesionados","Motocicleta","Colision"
15,"Septiembre","Miercoles",13,"Guatemala","Urbano",1,"Mujer",2,"Menos 15","Lesionados","Motocicleta","Colision"
30,"Noviembre","Martes",14,"Guatemala","Urbano",11,"Hombre",4,"Menos 15","Lesionados","Motocicleta","Colision"
25,"Julio","Domingo",14,"Guatemala","Urbano",12,"Hombre",2,"Menos 15","Lesionados","Motocicleta","Colision"
11,"Abril","Domingo",11,"Guatemala","Urbano",19,"Mujer",1,"Menos 15","Lesionados","Motocicleta","Colision"
28,"Julio","Miercoles",8,"Guatemala","Urbano",21,"Hombre",4,"Menos 15","Lesionados","Motocicleta","Colision"
15,"Agosto","Domingo",14,"Guatemala","Urbano",1,"Hombre",1,"Menos 15","Lesionados","Microbus","Colision"
15,"Agosto","Domingo",14,"Guatemala","Urbano",1,"Hombre",2,"Menos 15","Lesionados","Microbus","Colision"
12,"Febrero","Viernes",15,"Guatemala","Urbano",5,"Hombre",0,"Menos 15","Lesionados","Microbus","Colision"
30,"Abril","Viernes",14,"Guatemala","Urbano",15,"Hombre",1,"Menos 15","Lesionados","Automovil","Choque, empotro"
