<<<<<<< Updated upstream
"num_vehí","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_pil","edad_m1","condic_pil","tipo_vehi","color_vehi","modelo_vehi","causa_acc"
1,1,"Enero","Domingo",12,"Guatemala","Guatemala","Urbano","3","Hombre","40","40-44","Mayor","Normal","Automovil","Verde","1999","Colisión"
2,1,"Enero","Domingo",12,"Guatemala","Guatemala","Urbano","3","Hombre","65","55 y más","Mayor","Normal","Automovil","Rojo","1997","Colisión"
3,1,"Enero","Domingo",17,"Guatemala","Guatemala","Urbano","18","Hombre","44","40-44","Mayor","Ebrio","Automovil","Blanco","Ignorado","Colisión"
4,1,"Enero","Domingo",17,"Guatemala","Guatemala","Urbano","18","Hombre","Ignorado","Ignorado","Mayor","Normal","Pick up","Negro","Ignorado","Colisión"
5,1,"Enero","Domingo",10,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","52","50-54","Mayor","Normal","Pick up","Gris","Ignorado","Choque"
6,1,"Enero","Domingo",17,"Guatemala","Guatemala","Urbano","11","Mujer","35","35-39","Mayor","Normal","Automovil","Blanco","1997","Colisión"
7,1,"Enero","Domingo",17,"Guatemala","Guatemala","Urbano","11","Hombre","44","40-44","Mayor","Ebrio","Pick up","Gris","Ignorado","Colisión"
8,1,"Enero","Domingo",17,"Guatemala","Guatemala","Urbano","11","Hombre","Ignorado","Ignorado","Mayor","Normal","Pick up","Ignorado","Ignorado","Colisión"
9,1,"Enero","Domingo",9,"Guatemala","Mixco","Urbano","6","Hombre","19","15-19","Mayor","Ebrio","Motocicleta","Blanco","Ignorado","Colisión"
10,1,"Enero","Domingo",9,"Guatemala","Mixco","Urbano","6","Hombre","28","25-29","Mayor","Normal","Motocicleta","Rojo","Ignorado","Colisión"
11,1,"Enero","Domingo",12,"Guatemala","Mixco","Rural","1","Hombre","40","40-44","Mayor","Ebrio","Bus urbano","Rojo","1990","Vuelco"
12,1,"Enero","Domingo",11,"Guatemala","San Juan Sacatepéquez","Rural","Ignorado","Hombre","43","40-44","Mayor","Normal","Motocicleta","Rojo","2000","Choque"
13,1,"Enero","Domingo",10,"Jutiapa","Pasaco","Rural","Ignorado","Hombre","31","30-34","Mayor","Normal","Pick up","Rojo","Ignorado","Choque"
14,1,"Enero","Domingo",16,"Jalapa","San Luis Jilotepeque","Rural","Ignorado","Hombre","42","40-44","Mayor","Ebrio","Pick up","Gris","1987","Colisión"
