<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","muni_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad","edad_m1","condicion_pil","tipo_vehi","marca_vehi","color_vehi","modelo_vehi","causa_acc"
4392,18,"Septiembre","Domingo",0,"Guatemala",8,"Urbano","7","Hombre","22","20-24","Mayor","Lesionado","Automovil","Audi","Gris","Ignorado","Empotro"
4391,18,"Septiembre","Domingo",0,"Guatemala",8,"Urbano","7","Hombre","25","25-29","Mayor","Lesionado","Automovil","Audi","Gris","Ignorado","Empotro"
3015,27,"Junio","Lunes",17,"Guatemala",1,"Urbano","10","Hombre","42","40-44","Mayor","Lesionado","Automovil","Audi","Gris","2001","Colisión"
541,2,"Febrero","Miércoles",17,"Guatemala",1,"Urbano","5","Mujer","10","Menos de 15","Menor","Lesionado","Motocicleta","Land rover","Azul","Ignorado","Colisión"
3954,30,"Agosto","Martes",13,"Guatemala",1,"Urbano","13","Mujer","18","15-19","Mayor","Lesionado","Camioneta","Land rover","Beige","Ignorado","Colisión"
5505,26,"Noviembre","Sábado",21,"Guatemala",1,"Rural","10","Hombre","19","15-19","Mayor","Lesionado","Motocicleta","Land rover","Negro","Ignorado","Volco"
2758,12,"Junio","Domingo",23,"Guatemala",14,"Rural","Ignorado","Hombre","23","20-24","Mayor","Fallecido","Motocicleta","Land rover","Negro","Ignorado","Empotro"
3697,10,"Agosto","Miércoles",22,"Guatemala",1,"Rural","11","Hombre","24","20-24","Mayor","Fallecido","Motocicleta","Land rover","Azul","Ignorado","Empotro"
4803,18,"Octubre","Martes",14,"Guatemala",1,"Urbano","17","Hombre","21","20-24","Mayor","Lesionado","Motocicleta","Land rover","Rojo","Ignorado","Colisión"
6011,28,"12","Miércoles",1,"Alta Verapaz",1,"Urbano","1","Hombre","24","20-24","Mayor","Lesionado","Jeep","Land rover","Azul","1970","Empotro"
2759,12,"Junio","Domingo",23,"Guatemala",14,"Rural","Ignorado","Hombre","25","25-29","Mayor","Lesionado","Motocicleta","Land rover","Negro","Ignorado","Empotro"
4001,3,"Septiembre","Sábado",7,"Guatemala",8,"Urbano","8","Hombre","29","25-29","Mayor","Lesionado","Motocicleta","Land rover","Azul","Ignorado","Empotro"
4813,20,"Octubre","Jueves",21,"Guatemala",1,"Urbano","12","Hombre","26","25-29","Mayor","Lesionado","Motocicleta","Land rover","Rojo","Ignorado","Colisión"
4000,3,"Septiembre","Sábado",7,"Guatemala",8,"Urbano","8","Hombre","30","30-34","Mayor","Lesionado","Motocicleta","Land rover","Azul","Ignorado","Empotro"
4707,15,"Octubre","Sábado",8,"Guatemala",1,"Urbano","7","Hombre","33","30-34","Mayor","Lesionado","Motocicleta","Land rover","Rojo","2007","Colisión"
540,2,"Febrero","Miércoles",17,"Guatemala",1,"Urbano","5","Hombre","35","35-39","Mayor","Lesionado","Motocicleta","Land rover","Azul","Ignorado","Colisión"
743,15,"Febrero","Martes",12,"Izabal",4,"Rural","Ignorado","Mujer","38","35-39","Mayor","Lesionado","Camioneta","Land rover","Ignorado","1997","Colisión"
3839,21,"Agosto","Domingo",23,"Guatemala",1,"Urbano","7","Hombre","35","35-39","Ignorado","Fallecido","Motocicleta","Land rover","Negro","Ignorado","Colisión"
3999,3,"Septiembre","Sábado",7,"Guatemala",8,"Urbano","8","Mujer","35","35-39","Mayor","Fallecido","Motocicleta","Land rover","Azul","Ignorado","Empotro"
741,15,"Febrero","Martes",12,"Izabal",4,"Rural","Ignorado","Hombre","64","50-54","Mayor","Lesionado","Camioneta","Land rover","Ignorado","1997","Colisión"
742,15,"Febrero","Martes",12,"Izabal",4,"Rural","Ignorado","Mujer","64","50-54","Mayor","Lesionado","Camioneta","Land rover","Ignorado","1997","Colisión"
